Gene name,Gene stable ID,Mouse gene name,Mouse gene stable ID
,ENSMODG00000016695,Ebf3,ENSMUSG00000010476
,ENSMODG00000034911,,
,ENSMODG00000027996,,
,ENSMODG00000032478,,
mdo-mir-12296,ENSMODG00000048036,,
GLRX3,ENSMODG00000013483,Glrx3,ENSMUSG00000031068
,ENSMODG00000043448,,
,ENSMODG00000036380,,
,ENSMODG00000046419,,
,ENSMODG00000051545,,
,ENSMODG00000043160,,
,ENSMODG00000042832,,
,ENSMODG00000040443,,
,ENSMODG00000042190,,
,ENSMODG00000045215,,
,ENSMODG00000039404,,
,ENSMODG00000040785,,
TCERG1L,ENSMODG00000013493,Tcerg1l,ENSMUSG00000091002
,ENSMODG00000039737,,
,ENSMODG00000045921,,
,ENSMODG00000039754,,
,ENSMODG00000028832,,
,ENSMODG00000042771,,
,ENSMODG00000045876,,
,ENSMODG00000037581,,
JAKMIP3,ENSMODG00000013518,Jakmip3,ENSMUSG00000056856
,ENSMODG00000050227,,
,ENSMODG00000043721,Dpysl4,ENSMUSG00000025478
STK32C,ENSMODG00000013531,Stk32c,ENSMUSG00000015981
,ENSMODG00000041358,L1td1,ENSMUSG00000087166
,ENSMODG00000006903,Dock1,ENSMUSG00000058325
,ENSMODG00000036674,,
,ENSMODG00000039338,,
NPS,ENSMODG00000029056,Nps,ENSMUSG00000073804
,ENSMODG00000006906,Foxi2,ENSMUSG00000048377
,ENSMODG00000045439,,
,ENSMODG00000046900,,
mdo-mir-7256,ENSMODG00000037015,,
,ENSMODG00000033589,,
CLRN3,ENSMODG00000006911,Clrn3,ENSMUSG00000050866
,ENSMODG00000042165,,
,ENSMODG00000046506,,
,ENSMODG00000043197,,
PTPRE,ENSMODG00000006941,Ptpre,ENSMUSG00000041836
,ENSMODG00000006953,Mki67,ENSMUSG00000031004
,ENSMODG00000041412,,
,ENSMODG00000049631,,
,ENSMODG00000045933,,
,ENSMODG00000038940,,
,ENSMODG00000048447,,
,ENSMODG00000033935,,
,ENSMODG00000049521,,
,ENSMODG00000036763,,
,ENSMODG00000029132,,
,ENSMODG00000049213,,
,ENSMODG00000040390,,
,ENSMODG00000040903,,
,ENSMODG00000048944,,
,ENSMODG00000028911,,
,ENSMODG00000046880,,
,ENSMODG00000029396,,
,ENSMODG00000042248,,
,ENSMODG00000012237,Tspan15,ENSMUSG00000037031
,ENSMODG00000012228,,
,ENSMODG00000045261,,
,ENSMODG00000012225,,
,ENSMODG00000036820,,
,ENSMODG00000045435,,
,ENSMODG00000030523,,
,ENSMODG00000031841,,
,ENSMODG00000036607,,
,ENSMODG00000012220,Col13a1,ENSMUSG00000058806
MACROH2A2,ENSMODG00000040146,Macroh2a2,ENSMUSG00000020086
AIFM2,ENSMODG00000012201,Aifm2,ENSMUSG00000020085
TYSND1,ENSMODG00000012195,Tysnd1,ENSMUSG00000020087
SAR1A,ENSMODG00000012190,Sar1a,ENSMUSG00000020088
,ENSMODG00000012176,Ppa1,ENSMUSG00000020089
NPFFR1,ENSMODG00000046812,Npffr1,ENSMUSG00000020090
LRRC20,ENSMODG00000012169,Lrrc20,ENSMUSG00000037151
U6,ENSMODG00000048754,Gm26449,ENSMUSG00000064386
,ENSMODG00000012163,Metap2,ENSMUSG00000036112
,ENSMODG00000038353,,
,ENSMODG00000046531,,
,ENSMODG00000041296,,
,ENSMODG00000046151,,
EIF4EBP2,ENSMODG00000012161,Eif4ebp2,ENSMUSG00000020091
,ENSMODG00000017248,,
,ENSMODG00000047784,,
DKK1,ENSMODG00000016421,Dkk1,ENSMUSG00000024868
NODAL,ENSMODG00000012158,Nodal,ENSMUSG00000037171
DNAJC12,ENSMODG00000017247,Dnajc12,ENSMUSG00000036764
PRF1,ENSMODG00000041159,Prf1,ENSMUSG00000037202
,ENSMODG00000009342,Rpp30,ENSMUSG00000024800
,ENSMODG00000030578,,
U6,ENSMODG00000049527,,
,ENSMODG00000039442,,
,ENSMODG00000037290,,
,ENSMODG00000034925,,
,ENSMODG00000046885,,
,ENSMODG00000049372,,
LBX1,ENSMODG00000044699,Lbx1,ENSMUSG00000025216
,ENSMODG00000042734,,
,ENSMODG00000036585,,
,ENSMODG00000028875,,
LINGO1,ENSMODG00000025399,Lingo1,ENSMUSG00000049556
TLX1,ENSMODG00000011900,Tlx1,ENSMUSG00000025215
,ENSMODG00000046241,,
,ENSMODG00000031862,,
,ENSMODG00000036362,,
,ENSMODG00000048851,,
,ENSMODG00000044527,,
CACUL1,ENSMODG00000009365,Cacul1,ENSMUSG00000033417
,ENSMODG00000043617,,
,ENSMODG00000000919,Lrmda,ENSMUSG00000063458
,ENSMODG00000010493,Caly,ENSMUSG00000025468
HECTD2,ENSMODG00000006780,Hectd2,ENSMUSG00000041180
HMG20A,ENSMODG00000012113,Hmg20a,ENSMUSG00000032329
KAZALD1,ENSMODG00000011907,Kazald1,ENSMUSG00000025213
,ENSMODG00000044106,,
,ENSMODG00000038071,,
,ENSMODG00000046224,,
PCGF5,ENSMODG00000006798,Pcgf5,ENSMUSG00000024805
,ENSMODG00000039675,,
FUOM,ENSMODG00000010485,Fuom,ENSMUSG00000025466
SFXN3,ENSMODG00000011922,Sfxn3,ENSMUSG00000025212
PEAK1,ENSMODG00000012107,Peak1,ENSMUSG00000074305
,ENSMODG00000039932,,
,ENSMODG00000036867,,
,ENSMODG00000035276,,
ECHS1,ENSMODG00000010481,Echs1,ENSMUSG00000025465
,ENSMODG00000032377,,
,ENSMODG00000009370,,
,ENSMODG00000050891,,
,ENSMODG00000045652,Pdzd7,ENSMUSG00000074818
,ENSMODG00000036679,,
PAOX,ENSMODG00000010464,Paox,ENSMUSG00000025464
,ENSMODG00000041377,,
,ENSMODG00000049562,,
ANKRD1,ENSMODG00000006827,Ankrd1,ENSMUSG00000024803
,ENSMODG00000039587,,
,ENSMODG00000009378,Fam204a,ENSMUSG00000057858
,ENSMODG00000010450,Mtg1,ENSMUSG00000039018
U6,ENSMODG00000022283,,
HTR7,ENSMODG00000006874,Htr7,ENSMUSG00000024798
,ENSMODG00000040450,,
,ENSMODG00000025145,Ctnna3,ENSMUSG00000060843
,ENSMODG00000011937,Pdzd7,ENSMUSG00000074818
TXNDC15,ENSMODG00000047885,Txndc15,ENSMUSG00000021497
RAB11FIP2,ENSMODG00000009385,Rab11fip2,ENSMUSG00000040022
,ENSMODG00000048213,L1td1,ENSMUSG00000087166
GCNT3,ENSMODG00000024649,Gcnt3,ENSMUSG00000032226
,ENSMODG00000050978,Ctnna3,ENSMUSG00000060843
,ENSMODG00000046559,,
,ENSMODG00000036653,,
